ISO3;Land;Jahr;PM2,5 (ug/m3);PM10 (ug/m3);NO2 (ug/m3);Gesamtschadstoffe (ug/m3);Erkrankungen des Kreislaufsystems (Todesfalle pro 100.000);Erkrankungen der Atemwege (Todesfalle pro 100.000);Krebs der Atemwege (Todesfalle pro 100.000);Todesfalle insgesamt (pro 100.000);Fossiler_Energieerzeugung (TWh);nukleare_Energieerzeugung (TWh);Erneuerbare_Energieerzeugung (TWh);Erneuerbare + nukleare_Energieerzeugung (TWh)
SVK;Slovakia;2010;21,65;33,88;28,84;84,37;440,21;14,72;16,66;471,59;7;15;6;21
SVK;Slovakia;2011;21,34;32,39;27,38;81,11;390,34;13,65;16,23;420,22;8;15;5;20
SVK;Slovakia;2012;20,39;30,29;26,62;77,3;349,53;11,66;15,9;377,09;7;15;5;20
SVK;Slovakia;2013;19,93;28,73;24,23;72,89;348,4;13,35;16,43;378,18;6;16;6;22
SVK;Slovakia;2014;19,21;26,86;18,74;64,81;323,17;10,71;14,62;348,5;5;15;6;21
SVK;Slovakia;2015;18,66;27,5;26,59;72,75;315,34;11,54;14,23;341,11;5;15;6;21
SVK;Slovakia;2016;14,91;22,47;19,12;56,5;308,87;11,29;13,41;333,57;5;15;7;22
SVK;Slovakia;2017;19,04;26,54;19,98;65,56;318,69;12,67;13,18;344,54;6;15;7;22
SVK;Slovakia;2018;18,12;25,63;18,08;61,83;296,25;12,71;11,76;320,72;6;15;6;21
SVK;Slovakia;2019;15,59;22,3;16,84;54,73;284,71;12,34;11,43;308,48;6;15;7;22
SVN;Slovenia;2010;18,7;28,53;22,1;69,33;218,4;3,5;20,23;242,13;6;6;5;11
SVN;Slovenia;2011;18,3;26,82;21,98;67,1;207,18;3,71;19,31;230,2;6;6;4;10
SVN;Slovenia;2012;17,82;25,58;21,22;64,62;205,84;3,61;19,24;228,69;6;6;4;10
SVN;Slovenia;2013;17,14;24,95;21,02;63,11;198,39;2,94;18,17;219,5;5;5;5;10
SVN;Slovenia;2014;15,07;22,4;19,01;56,48;198,26;2,11;18,12;218,49;4;6;7;13
SVN;Slovenia;2015;17,64;25,93;20,75;64,32;197,84;3,38;18,16;219,38;5;6;4;10
SVN;Slovenia;2016;17,38;23,71;19,35;60,44;186,85;2,92;17,66;207,43;5;6;5;11
SVN;Slovenia;2017;16,53;24,61;22,38;63,52;184,92;2,37;17,83;205,12;5;6;4;10
SVN;Slovenia;2018;15,37;24,03;18,67;58,07;179,51;2,33;15,62;197,46;5;6;5;11
SVN;Slovenia;2019;12,45;20,63;18,89;51,97;170,69;2,61;13,39;186,69;5;6;5;11
ESP;Spain;2010;9,87;21,76;18,09;49,72;137,58;6,23;17,03;160,84;138;62;98;160
ESP;Spain;2011;12,79;18,11;17,71;48,61;132,45;6,8;16,66;155,91;146;58;88;146
ESP;Spain;2012;12,6;18,02;16,23;46,85;130,36;6,15;16,73;153,24;145;61;87;148
ESP;Spain;2013;8,45;18,33;15,8;42,58;122,44;5,91;16,05;144,4;113;57;111;168
ESP;Spain;2014;8,47;18,73;15,48;42,68;119,19;6,15;15,27;140,61;107;57;110;167
ESP;Spain;2015;9,5;20,31;16,83;46,64;122,42;6,54;15,38;144,34;123;57;97;154
ESP;Spain;2016;8,36;18,64;15,61;42,61;116,14;6,45;15,05;137,64;108;59;105;164
ESP;Spain;2017;9,55;20,32;16,5;46,37;115,47;6,12;14,25;135,84;127;58;88;146
ESP;Spain;2018;9,02;17,97;14,5;41,49;112,18;6,92;13,99;133,09;112;56;104;160
ESP;Spain;2019;8,97;18,78;14,31;42,06;106,25;6,68;13,46;126,39;113;58;100;158
SWE;Sweden;2010;7,45;17,25;20,39;45,09;182,17;4,24;8,94;195,35;9;58;82;140
SWE;Sweden;2011;7,22;17,39;19,82;44,43;175,28;4,35;8,36;187,99;6;60;84;144
SWE;Sweden;2012;6,72;16,92;18,34;41,98;173,67;3,97;7,74;185,38;4;64;98;162
SWE;Sweden;2013;6,38;17,93;17,7;42,01;166,33;4,25;7,67;178,25;4;66;83;149
SWE;Sweden;2014;8,09;17,5;15,65;41,24;158,98;3,66;7,84;170,48;3;65;86;151
SWE;Sweden;2015;6,39;15,1;14,03;35,52;156,74;4,1;6,65;167,49;3;56;102;158
SWE;Sweden;2016;5,86;13,98;14,76;34,6;150,97;4,23;6,83;162,03;4;63;89;152
SWE;Sweden;2017;5,02;13,71;14,24;32,97;145,91;3,49;5,99;155,39;3;66;95;161
SWE;Sweden;2018;6,57;17,23;15,25;39,05;141,36;3,98;6,05;151,39;4;69;91;160
SWE;Sweden;2019;5,62;15,88;14,38;35,88;130,07;3,83;5,39;139,29;4;67;100;167
CHE;Switzerland;2010;15,34;17,57;20,91;53,82;144,92;3,44;12,56;160,92;2;25;36;61
CHE;Switzerland;2011;14,58;20,76;25,15;60,49;137,11;3,54;12,09;152,74;1;26;37;63
CHE;Switzerland;2012;12,73;17,85;24,24;54,82;138,07;3,52;11,5;153,09;1;27;38;65
CHE;Switzerland;2013;14,05;18,13;24,57;56,75;133,36;3,91;11,08;148,35;1;28;39;67
CHE;Switzerland;2014;8,98;14,96;23,24;47,18;129,65;3,76;10,76;144,17;1;29;40;69
CHE;Switzerland;2015;11,45;16,56;23,96;51,97;126,87;3,82;10,42;141,11;1;30;41;71
CHE;Switzerland;2016;10,22;14,37;22,43;47,02;118,99;3,61;10,04;132,64;1;31;42;73
CHE;Switzerland;2017;11,48;14,6;22,49;48,57;117,81;3,8;9,69;131,3;1;32;43;75
CHE;Switzerland;2018;11,25;14,63;20,22;46,1;112,63;3,74;9,34;125,71;1;33;44;77
CHE;Switzerland;2019;9,36;13,03;19,3;41,69;106,27;3,51;8,14;117,92;1;34;45;79
GBR;United Kingdom;2010;12,46;18,4;28,32;59,18;164,19;10,91;13,21;188,31;291;62;26;88
GBR;United Kingdom;2011;12,32;18,13;26,65;57,1;144,59;11,1;12,58;168,27;261;69;35;104
GBR;United Kingdom;2012;12,2;18,01;25,83;56,04;143,77;9,87;12,42;166,06;249;70;41;111
GBR;United Kingdom;2013;12,17;17,77;24,03;53,97;140,73;10,3;12,04;163,07;232;71;53;124
GBR;United Kingdom;2014;11,78;16,56;23,7;52,04;133,61;9,91;11,84;155,36;207;64;65;129
GBR;United Kingdom;2015;9,73;15,44;22,85;48,02;134,65;11,01;11,41;157,07;182;70;83;153
GBR;United Kingdom;2016;9,8;16,06;25,04;50,9;128,52;11,75;11,03;151,3;181;72;82;154
GBR;United Kingdom;2017;9,06;14,62;22,74;46,42;125,77;10,64;10,44;146,85;166;70;97;167
GBR;United Kingdom;2018;9,84;16,15;21,82;47,81;126,27;11,7;10,28;148,25;155;65;108;173
GBR;United Kingdom;2019;9,59;16,04;21,67;47,3;118,15;11,1;9,41;138,66;145;57;117;174
