ISO3;Country;Year;PM2,5 (ug/m3);PM10 (ug/m3);NO2 (ug/m3);diseases of circulatory system (deaths per 100 000);diseases of respiratory system (deaths per 100 000);diseases of trachea/bronchus/lung cancer (deaths per 100 000);Fossil Energy Generation TWh;Nuclear Energy Generation TWh;Renewable Energy Generation TWh;Renewable + Nuclear Energy Generation TWh
AUT;Austria;2010;18,14;22,98;21,86;207,07;4,94;15,87;23;0;45;45
AUT;Austria;2011;16,10;22,13;25,00;196,78;4,99;15,51;21;0;41;41
AUT;Austria;2012;15,00;21,00;24,00;199,90;4,40;14,72;17;0;51;51
AUT;Austria;2013;15,90;20,75;21,08;197,92;5,19;14,13;14;0;50;50
AUT;Austria;2014;13,11;18,09;19,42;187,53;3,81;14,52;11;0;50;50
AUT;Austria;2015;13,71;19,37;20,37;196,54;5,12;13,45;14;0;48;48
AUT;Austria;2016;12,14;16,86;19,05;181,58;4,61;13,18;14;0;51;51
AUT;Austria;2017;12,58;17,26;19,14;177,55;4,99;12,62;16;0;51;51
AUT;Austria;2018;13,56;18,65;17,61;173,97;6,07;12,45;15;0;50;50
AUT;Austria;2019;11,09;15,50;16,64;168,52;5,13;11,40;16;0;55;55
BEL;Belgium;2010;16,72;26,10;25,02;159,44;9,23;19,19;39;48;6;54
BEL;Belgium;2011;15,50;24,12;24,89;149,24;9,22;18,99;32;48;8;56
BEL;Belgium;2012;15,00;23,80;24,56;146,61;8,30;18,21;31;40;10;50
BEL;Belgium;2013;14,81;23,50;23,98;142,15;9,13;17,79;27;43;12;55
BEL;Belgium;2014;12,18;20,56;21,75;132,71;7,67;16,75;25;34;12;46
BEL;Belgium;2015;12,63;20,52;21,02;135,83;8,46;16,50;28;26;14;40
BEL;Belgium;2016;12,45;19,79;21,66;127,25;8,71;15,37;26;44;14;58
BEL;Belgium;2017;12,11;19,56;21,63;124,29;7,54;13,91;27;42;16;58
BEL;Belgium;2018;12,55;20,87;20,02;117,68;8,89;13,06;28;29;17;46
BEL;Belgium;2019;10,93;18,67;18,74;108,92;7,77;12,09;29;42;19;61
BGR;Bulgaria;2010;23,85;44,92;21,51;621,69;17,22;20,71;25;15;6;21
BGR;Bulgaria;2011;22,98;42,34;21,34;595,99;15,74;21,04;30;16;4;20
BGR;Bulgaria;2012;22,32;41,35;20,46;574,47;14,87;21,21;25;16;5;21
BGR;Bulgaria;2013;19,96;39,93;18,21;541,11;13,37;20,67;22;14;7;21
BGR;Bulgaria;2014;21,74;41,49;18,60;564,56;16,10;19,72;24;16;7;23
BGR;Bulgaria;2015;23,97;37,89;18,28;558,68;14,25;20,38;25;15;9;24
BGR;Bulgaria;2016;19,23;35,32;20,17;546,62;16,78;18,37;22;16;7;23
BGR;Bulgaria;2017;19,57;33,95;18,37;552,66;16,27;18,07;23;16;6;22
BGR;Bulgaria;2018;19,58;32,98;18,15;538,59;16,18;18,00;21;16;9;25
BGR;Bulgaria;2019;16,54;29,00;18,34;518,87;15,97;17,95;20;17;7;24
HRV;Croatia;2010;23,57;26,66;21,29;370,71;5,12;24,49;5;0;9;9
HRV;Croatia;2011;23,46;27,87;21,05;350,93;5,39;23,92;6;0;5;5
HRV;Croatia;2012;23,12;28,65;20,78;342,02;5,59;22,64;5;0;5;5
HRV;Croatia;2013;23,01;31,18;20,24;324,09;5,56;23,94;5;0;9;9
HRV;Croatia;2014;20,04;26,63;18,67;314,03;4,73;23,60;3;0;10;10
HRV;Croatia;2015;15,61;24,86;19,79;330,69;6,32;23,43;4;0;8;8
HRV;Croatia;2016;17,27;25,40;18,62;291,98;5,15;22,06;4;0;8;8
HRV;Croatia;2017;15,55;23,02;19,73;290,83;5,49;22,32;5;0;7;7
HRV;Croatia;2018;15,68;24,01;15,22;281,65;5,13;20,43;4;0;10;10
HRV;Croatia;2019;13,72;22,04;17,13;261,53;6,26;18,98;4;0;8;8
CYP;Cyprus;2010;20,05;45,27;18,31;179,55;4,77;7,26;5;0;0;0
CYP;Cyprus;2011;19,83;41,36;17,87;193,28;2,91;9,69;5;0;0;0
CYP;Cyprus;2012;18,34;38,93;17,03;184,83;3,17;9,75;4;0;0;0
CYP;Cyprus;2013;15,96;36,92;16,47;161,53;3,25;8,50;4;0;0;0
CYP;Cyprus;2014;16,20;33,66;16,38;166,18;2,76;8,26;4;0;0;0
CYP;Cyprus;2015;15,95;34,40;16,96;179,05;4,00;9,61;4;0;0;0
CYP;Cyprus;2016;11,51;29,28;16,22;153,03;3,69;7,53;4;0;0;0
CYP;Cyprus;2017;13,72;26,87;15,03;160,23;3,95;9,22;5;0;0;0
CYP;Cyprus;2018;12,94;33,14;14,35;137,54;3,61;9,83;5;0;0;0
CYP;Cyprus;2019;13,03;24,15;14,92;132,35;4,56;8,47;4;0;0;0
CZE;Czechia;2010;23,61;29,07;19,31;344,14;11,41;17,93;51;28;6;34
CZE;Czechia;2011;21,34;27,43;19,02;331,47;10,48;16,81;51;28;7;35
CZE;Czechia;2012;20,65;26,87;18,43;325,05;9,27;16,72;48;30;8;38
CZE;Czechia;2013;20,16;25,90;17,70;309,72;10,89;14,81;46;31;9;40
CZE;Czechia;2014;19,37;25,63;16,78;284,47;8,77;13,96;46;30;9;39
CZE;Czechia;2015;17,95;23,31;16,32;291,15;10,46;13,04;46;27;9;36
CZE;Czechia;2016;18,46;21,80;15,00;266,60;10,62;12,69;49;24;9;33
CZE;Czechia;2017;18,75;22,19;15,01;270,04;9,92;12,26;48;28;10;38
CZE;Czechia;2018;20,41;24,48;14,91;261,60;10,41;11,26;48;30;9;39
CZE;Czechia;2019;15,28;19,42;14,76;249,34;10,63;10,60;46;30;9;39
DNK;Denmark;2010;15,09;21,55;25,33;154,53;9,33;16,82;26;0;12;12
DNK;Denmark;2011;14,98;21,22;22,34;139,19;9,80;15,72;21;0;14;14
DNK;Denmark;2012;14,03;21,98;21,65;135,85;8,69;15,80;16;0;15;15
DNK;Denmark;2013;11,06;21,74;18,14;129,84;8,67;15,44;19;0;16;16
DNK;Denmark;2014;13,26;22,19;18,00;121,62;8,54;15,67;14;0;18;18
DNK;Denmark;2015;11,26;20,66;12,54;123,53;8,72;14,53;10;0;19;19
DNK;Denmark;2016;10,29;18,73;12,78;123,34;9,40;13,86;12;0;18;18
DNK;Denmark;2017;9,41;17,99;11,95;117,57;8,77;13,01;9;0;22;22
DNK;Denmark;2018;12,22;21,10;12,07;112,62;9,41;11,37;10;0;21;21
DNK;Denmark;2019;10,24;18,85;10,70;105,42;8,81;11,47;7;0;23;23
FIN;Finland;2010;8,53;14,89;16,76;213,57;4,70;9,91;33;23;24;47
FIN;Finland;2011;7,87;14,56;16,39;203,69;4,96;9,37;26;23;24;47
FIN;Finland;2012;7,43;13,89;15,56;198,52;3,85;8,59;19;23;29;52
FIN;Finland;2013;6,41;13,14;14,30;187,11;3,89;8,84;22;24;26;50
FIN;Finland;2014;7,61;14,60;14,65;181,82;3,49;7,89;18;24;26;50
FIN;Finland;2015;5,70;12,48;13,35;175,61;3,22;7,46;15;23;31;54
FIN;Finland;2016;5,73;11,93;13,05;173,87;4,36;8,01;15;23;30;53
FIN;Finland;2017;4,51;10,54;12,31;165,97;3,35;7,59;13;22;31;53
FIN;Finland;2018;6,02;13,12;11,71;160,78;3,30;6,97;15;23;32;55
FIN;Finland;2019;5,31;11,39;10,49;152,69;3,18;6,35;13;24;31;55
FRA;France;2010;17,75;24,38;23,07;113,90;4,63;19,56;58;429;78;507
FRA;France;2011;14,65;26,87;22,32;107,15;4,99;19,74;59;442;66;508
FRA;France;2012;13,87;20,54;22,43;105,52;4,51;19,45;56;425;85;510
FRA;France;2013;11,25;19,87;21,87;101,52;4,61;18,69;53;424;99;523
FRA;France;2014;9,02;19,43;10,53;97,20;4,26;19,01;36;436;94;530
FRA;France;2015;12,75;20,04;20,16;96,37;4,76;18,78;45;437;92;529
FRA;France;2016;11,57;18,15;19,09;94,25;4,50;17,67;57;403;99;502
FRA;France;2017;10,97;18,24;18,81;93,62;4,63;16,60;65;398;93;491
FRA;France;2018;10,37;17,67;17,45;92,07;5,40;15,92;50;413;113;526
FRA;France;2019;9,42;17,02;16,60;91,05;4,90;15,67;54;399;112;511
DEU;Germany;2010;17,35;22,57;25,71;208,71;6,96;15,51;381;141;105;246
DEU;Germany;2011;16,24;22,02;25,32;196,60;7,31;15,63;375;108;124;232
DEU;Germany;2012;15,65;21,37;24,98;195,20;6,49;15,32;381;100;143;243
DEU;Germany;2013;14,11;19,76;29,82;199,75;7,60;15,58;383;97;152;249
DEU;Germany;2014;14,03;19,46;25,51;186,28;6,68;15,16;362;97;163;260
DEU;Germany;2015;12,68;18,32;25,02;191,14;7,68;14,89;362;92;189;281
DEU;Germany;2016;12,20;17,07;24,90;178,23;7,24;14,53;371;85;190;275
DEU;Germany;2017;12,08;16,82;23,60;177,31;7,19;13,68;355;76;217;293
DEU;Germany;2018;12,58;17,95;23,74;175,50;7,90;13,36;337;76;225;301
DEU;Germany;2019;10,36;15,56;21,72;164,51;7,30;12,45;286;75;242;317
GRC;Greece;2010;14,86;38,54;25,73;228,92;8,04;17,58;47;0;11;11
GRC;Greece;2011;16,34;36,98;24,84;220,11;7,64;17,59;51;0;8;8
GRC;Greece;2012;15,70;35,56;23,31;217,55;6,24;18,53;51;0;10;10
GRC;Greece;2013;10,02;33,30;20,25;202,45;6,65;18,33;43;0;14;14
GRC;Greece;2014;17,43;31,55;22,43;187,95;7,02;18,29;38;0;12;12
GRC;Greece;2015;18,85;32,37;24,34;188,28;6,86;17,56;37;0;15;15
